    0     0.0000009537
    10    0.0006361008
    20    0.0047719479
    30    0.0165109634
    40    0.0336730480
    50    0.0683591366
    60    0.1184320450
    70    0.1920509338
    80    0.2723441124
    90    0.3810486794
   100    0.5307409763
   110    0.6941089630
   120    0.8921902180
   130    1.1642222404
   140    1.4554929733
   150    1.7580621243
   160    2.1566007137
   170    2.5695209503
   180    3.0520279408
   190    3.8326888084
   200    4.4020450115
   210    4.9063150883
   220    5.7093892097
   230    6.3869259357
   240    7.7549691200
   250    8.3016769886
   260    9.5637249947
   270    10.6362450123
   280    11.4872307777
   290    12.9414780140
   300    14.2755751610
   310    15.6776111126
   320    17.2586829662
   330    18.8136041164
   340    20.4693281651
   350    22.3127491474
   360    24.5081210136
