    0     0.0000000000
    10    0.0007228851
    20    0.0048391819
    30    0.0161411762
    40    0.0345330238
    50    0.0643978119
    60    0.1166169643
    70    0.1920330524
    80    0.2672009468
    90    0.3946590424
   100    0.5375318527
   110    0.7321929932
   120    0.9527189732
   130    1.2143838406
   140    1.4865431786
   150    1.8133308887
   160    2.1591019630
   170    2.6576290131
   180    3.1399762630
   190    3.6819877625
   200    4.3034169674
   210    4.9183480740
   220    5.6317231655
   230    6.5368800163
   240    7.2189691067
   250    8.1752231121
   260    9.2354681492
   270    10.3012580872
   280    11.5965130329
   290    12.8044741154
   300    14.2600200176
   310    16.3379681110
   320    17.4405529499
   330    19.5310709476
   340    21.0428981781
   350    23.7948107719
   360    24.7911050320
   370    26.7395241261
   380    28.9560391903
   390    31.2890570164
   400    33.7318127155
   410    36.4227180481
   420    40.2802848816
   430    42.4429519176
   440    45.1353683472
   450    48.4919390678
   460    51.5560300350
   470    55.1113421917
   480    59.4698779583
   490    62.7526347637
   500    66.3393750191
