    0     0.0000000000
    10    0.0006060600
    20    0.0046799183
    30    0.0162870884
    40    0.0349991322
    50    0.0654208660
    60    0.1211318970
    70    0.1908690929
    80    0.2660880089
    90    0.3882191181
   100    0.5214400291
   110    0.7243690491
   120    0.9257249832
   130    1.1917629242
   140    1.4591131210
   150    1.8190588951
   160    2.8124830723
   170    2.8369548321
   180    3.4563219547
   190    3.8081288338
   200    4.3823022842
   210    4.8723649979
   220    5.5439670086
   230    6.3425099850
   240    7.1682088375
   250    7.9551250935
   260    8.9777221680
   270    10.0552470684
   280    11.1835010052
   290    12.5624969006
   300    14.6499369144
   310    15.5526630878
   320    16.8540489674
   330    18.5569500923
   340    20.2175271511
   350    22.1330051422
   360    24.0801911354
   370    26.1518189907
   380    28.4269382954
   390    30.5541162491
   400    33.2180609703
   410    35.6864559650
   420    39.1639361382
   430    41.2840859890
   440    44.2627267838
   450    47.6561789513
   460    50.7550840378
   470    54.2143170834
   480    58.4195458889
   490    61.3678610325
   500    65.3556399345
