    0     0.0000000000
    10    0.0006158352
    20    0.0046398640
    30    0.0190107822
    40    0.0339100361
    50    0.0683510303
    60    0.1215932369
    70    0.1879940033
    80    0.2781620026
    90    0.3763167858
   100    0.5200920105
   110    0.6918346882
   120    0.9135081768
   130    1.1266717911
   140    1.4390661716
   150    1.7611920834
   160    2.1212418079
   170    2.5709340572
   180    3.0513849258
   190    3.7051599026
   200    4.3130109310
   210    4.9824681282
   220    5.5973520279
   230    6.3405358791
   240    7.1688389778
   250    8.0196192265
   260    9.0898180008
   270    9.9497458935
   280    11.1792430878
   290    12.4293091297
   300    14.0739240646
   310    15.5898532867
   320    16.7392630577
   330    18.3947811127
   340    20.1861760616
   350    21.8654661179
   360    23.8045742512
   370    25.8059551716
   380    28.0043509007
   390    30.4509441853
   400    33.6062128544
   410    35.5863730907
   420    38.3796260357
   430    40.7581560612
   440    43.8756208420
   450    46.7943272591
   460    50.0479161739
   470    54.2141680717
   480    57.1416168213
   490    60.7145369053
   500    64.0392770767
